Index,Coefficient
31,im * M .* pertparam .* (36 * M .^ 2 .* (x .^ 2 - 1) + M .* r .* (37 - 35 * x .^ 2) + r .^ 2 .* (-im * omega .* r + x .^ 2 .* (im * omega .* r + 9) - 10)) ./ (8 * r .^ 7 .* sqrt(1 - x .^ 2))
32,im * M .* pertparam .* x .* (2 * M - r) ./ (8 * r .^ 6)
33,0
34,0
35,0
36,0
40,im * M .* pertparam .* (2 * M - r) .* (6 * M .* x + m .* (-3 * M + im * omega .* r .^ 2 + r) - 3 * r .* x) ./ (8 * r .^ 6)
41,im * M .* pertparam .* sqrt(1 - x .^ 2) .* (6 * M .^ 2 - 7 * M .* r + 2 * r .^ 2) ./ (8 * r .^ 6)
42,0
43,0
44,0
45,0
46,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
