Index,Coefficient
26,0
30,32 * im * M .* spina .* (-72 * M .^ 2 .* m + 72 * M .^ 2 .* cos(3 * acos(x)) + 4 * M .* m .^ 3 .* r + 22 * im * M .* m .* omega .* r .^ 2 + 82 * M .* m .* r - 24 * im * M .* omega .* r .^ 2 .* cos(3 * acos(x)) - 72 * M .* r .* cos(3 * acos(x)) - 2 * m .^ 3 .* r .^ 2 + 4 * m .* omega .^ 2 .* r .^ 4 - 13 * im * m .* omega .* r .^ 3 - 23 * m .* r .^ 2 + m .* (72 * M .^ 2 + 22 * M .* r .* (-im * omega .* r - 3) + r .^ 2 .* (-4 * omega .^ 2 .* r .^ 2 + 13 * im * omega .* r + 15)) .* cos(2 * acos(x)) + 12 * im * omega .* r .^ 3 .* cos(3 * acos(x)) + 18 * r .^ 2 .* cos(3 * acos(x)) - 2 * x .* (2 * M - r) .* (18 * M + r .* (-4 * m .^ 2 - 6 * im * omega .* r - 9))) ./ (r .^ 5 .* (1 - x .^ 2) .* (-2 * M + r) .^ 2)
31,-64 * im * M .* spina .* sqrt(1 - x .^ 2) .* (72 * M .^ 2 + 2 * M .* r .* (-13 * im * omega .* r - 37) + m .* r .* x .* (2 * M - r) ./ (1 - x .^ 2) + r .^ 2 .* (-4 * omega .^ 2 .* r .^ 2 + 15 * im * omega .* r + 19)) ./ (r .^ 5 .* (-2 * M + r) .^ 2)
32,-64 * im * M .* m .* spina ./ (r .^ 4 .* (2 * M - r))
33,0
34,0
35,0
36,0
40,64 * M .* spina .* (6 * im * M .* m + m .* r .* (omega .* r - 3im) + 6 * im * x .* (2 * M - r)) ./ (r .^ 4 .* (2 * M - r))
41,64 * M .* spina .* sqrt(1 - x .^ 2) .* (6 * im * M + r .* (omega .* r - 3im)) ./ (r .^ 4 .* (2 * M - r))
42,0
43,0
44,0
45,0
46,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
